SNR,Accuracy
-20,tensor(4.0485)
-18,tensor(4.1448)
-16,tensor(4.7425)
-14,tensor(4.0431)
-12,tensor(4.3402)
-10,tensor(5.0165)
-8,tensor(6.5399)
-6,tensor(9.9798)
-4,tensor(16.7648)
-2,tensor(27.1373)
0,tensor(36.5286)
2,tensor(47.3004)
4,tensor(54.4250)
6,tensor(56.4692)
8,tensor(59.4453)
10,tensor(60.6693)
12,tensor(59.8257)
14,tensor(58.7528)
16,tensor(60.0179)
18,tensor(61.2773)
20,tensor(61.8533)
22,tensor(60.1180)
24,tensor(60.4148)
26,tensor(61.1999)
28,tensor(61.5367)
30,tensor(59.5687)
